start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2013-01-01,2013-12-31,0.1,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2013,CommonStockDividendsPerShareDeclared,USD/shares,STAG,1479094
2018-01-01,2018-12-31,1.42,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2018,CommonStockDividendsPerShareCashPaid,USD/shares,STAG,1479094
2019-01-01,2019-12-31,1.43,0001479094-20-000006,2019,FY,10-K,2020-02-12,,CommonStockDividendsPerShareCashPaid,USD/shares,STAG,1479094
2020-01-01,2020-12-31,1.44,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2020,CommonStockDividendsPerShareDeclared,USD/shares,STAG,1479094
2021-01-01,2021-12-31,1.449996,0001479094-22-000006,2021,FY,10-K,2022-02-16,,CommonStockDividendsPerShareDeclared,USD/shares,STAG,1479094
