id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
5773,FAT,Y,4,5,5,-1,0,2,1,3,5,5,0,-5,1,5,5,-5,-5,3,97
5460,LNW,Y,1,1,5,-1,0,-1,-1,4,2,-5,-5,5,3,2,-4,5,4,0,96
5668,LEGH,Y,3,3,5,-1,0,-1,-1,4,-3,5,5,5,-4,-5,5,5,3,0,96
5779,SPWH,Y,1,5,5,-5,-5,-5,-1,4,2,5,5,3,1,5,-2,-5,3,1,96
5920,NROM,Y,2,1,5,-1,0,-1,-1,4,0,3,3,5,3,3,-5,-5,1,0,95
5481,CROX,Y,3,3,5,-1,0,-1,-1,4,5,1,-2,-5,-1,5,3,3,3,0,94
5674,RICK,Y,-1,-1,5,-1,0,4,1,5,2,3,4,1,-1,-5,-4,2,4,0,94
5832,INTG,Y,1,1,5,-1,0,-1,-1,5,2,-2,-4,0,3,5,-5,4,3,0,94
5551,VAC,Y,2,2,5,5,5,5,1,5,2,1,-5,0,-1,-5,3,3,3,-1,93
5948,NVFY,Y,3,3,5,4,-1,-1,-1,2,-2,-2,3,5,0,5,5,3,3,-5,92
