Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,bv,equity,score
WAL,3,3,5,5,4,5,5,5,5,5,5,5,5,305
MCO,5,5,5,4,5,3,4,5,5,3,5,5,5,302
VCTR,4,5,5,5,4,5,5,3,5,3,5,5,5,300
CBOE,5,5,4,5,5,5,3,3,5,4,5,3,3,284
BFH,5,5,5,2,5,5,4,5,5,4,5,5,3,277
MORN,4,3,5,3,5,5,4,4,5,2,5,4,4,272
WT,4,5,4,1,4,5,3,3,5,2,5,5,4,269
NOAH,4,4,5,1,4,5,5,3,5,5,5,5,5,265
EVR,3,3,4,4,4,1,5,5,5,3,5,3,4,260
ICE,3,3,5,4,5,3,4,3,3,2,5,4,4,247
MMC,4,3,4,3,5,3,3,5,1,2,5,4,3,244
PRU,2,2,2,4,5,4,3,5,1,1,5,5,4,244
