Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
ECL,4,4,4,3,5,5,3,4,4,3,5,3,236
SHW,5,4,5,3,5,3,3,4,2,3,5,2,232
MLM,2,2,4,2,5,4,4,5,5,2,5,4,221
