Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
CMCSA,3,3,5,4,5,5,3,5,5,3,5,2,272
SSTK,3,3,4,5,4,5,4,5,5,4,3,5,256
