id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
6170,RDCM,C,-3,-1,5,-1,0,-1,-1,3,0,2,4,5,3,5,-5,2,4,0,118
6080,IAS,C,-3,-2,5,-1,0,-1,-1,3,5,3,4,5,4,5,-5,-5,5,0,116
6104,ANGI,C,-3,-1,5,-1,0,-1,-1,4,5,3,3,5,3,5,-5,-5,5,0,115
6124,THRY,C,5,1,5,-1,0,-1,-1,4,2,5,4,5,0,-5,-5,5,-2,0,111
6069,TEO,C,-1,-1,5,-1,2,5,-1,1,0,5,5,-5,3,5,1,-5,5,3,109
6317,NTTYY,C,2,1,5,5,4,3,1,5,1,3,0,5,3,-4,-5,-2,-2,1,109
6299,BOTY,C,5,5,5,-1,0,-1,-1,-2,3,5,4,0,0,5,5,2,-5,0,107
6192,RDI,C,2,2,5,-1,0,-1,-1,4,5,3,3,5,-1,1,-5,-5,3,0,105
6014,DASH,C,-2,-1,5,-1,0,-1,-1,1,5,5,0,-5,4,5,3,5,5,0,104
6281,LBUY,C,-5,3,5,-1,0,-1,-1,3,2,5,5,5,0,-5,-5,4,5,0,102
6028,VOD,C,-1,-1,5,-1,2,1,-1,5,3,-3,0,3,4,4,1,3,-5,3,101
6025,TU,C,-1,-1,5,-1,-3,2,1,4,3,4,3,1,3,1,1,-4,3,3,98
6318,QBCRF,C,-1,-1,5,-1,2,-1,-1,1,2,3,4,3,4,4,1,-4,3,0,98
6187,GAIA,C,-4,-1,5,-1,5,5,-1,4,-2,2,-2,5,0,5,5,3,4,-5,97
6013,SPOT,C,-1,-1,5,-1,0,-1,-1,4,5,3,-1,3,3,5,1,-5,5,0,95
6143,EVC,C,1,1,5,5,5,2,1,4,0,3,2,5,-1,-5,5,-5,4,1,95
6015,CHTR,C,3,1,5,-1,0,-1,-1,5,5,3,-2,3,-1,-5,3,5,3,0,94
6307,MDEX,C,5,5,5,-1,0,-1,-1,-5,2,3,1,5,-5,1,4,1,5,0,94
6296,NWCN,C,-1,-1,5,-1,0,-1,-1,1,3,3,-4,3,0,5,5,5,5,0,93
6272,DTGI,C,5,5,5,-1,0,-1,-1,-5,2,4,-1,5,0,-5,-5,3,5,0,92
