Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
CMCSA,3,3,5,4,5,5,3,5,5,3,5,2,272
DLX,5,5,4,1,5,5,3,5,2,2,5,3,270
SSTK,3,3,4,5,4,5,4,5,5,4,3,5,256
VZ,3,5,3,1,4,4,3,1,5,4,3,4,243
CABO,4,5,5,3,5,5,3,2,5,1,5,4,237
