Ticker,Company Name,CIK,Sector,Industry
CLCO,Cool Co Ltd.,0001944057,Energy,Oil & Gas Midstream
TXO,"TXO Partners, L.P.",0001559432,Energy,Oil & Gas E&P
NR,NEWPARK RESOURCES INC,0000071829,Energy,Oil & Gas Equipment & Services
OBE,OBSIDIAN ENERGY LTD.,0001334388,Energy,Oil & Gas E&P
URG,UR-ENERGY INC,0001375205,Energy,Uranium
TTI,TETRA TECHNOLOGIES INC,0000844965,Energy,Oil & Gas Equipment & Services
BRY,Berry Corp (bry),0001705873,Energy,Oil & Gas E&P
GPRK,GeoPark Ltd,0001464591,Energy,Oil & Gas E&P
SD,SANDRIDGE ENERGY INC,0001349436,Energy,Oil & Gas E&P
REPX,"Riley Exploration Permian, Inc.",0001001614,Energy,Oil & Gas E&P
EGY,VAALCO ENERGY INC /DE/,0000894627,Energy,Oil & Gas E&P
OSG,OVERSEAS SHIPHOLDING GROUP INC,0000075208,Energy,Oil & Gas Midstream
WTI,W&T OFFSHORE INC,0001288403,Energy,Oil & Gas E&P
SGU,"STAR GROUP, L.P.",0001002590,Energy,Oil & Gas Refining & Marketing
OIS,"OIL STATES INTERNATIONAL, INC",0001121484,Energy,Oil & Gas Equipment & Services
UNTC,UNIT CORP,0000798949,Energy,Oil & Gas Integrated
TELL,TELLURIAN INC. /DE/,0000061398,Energy,Oil & Gas E&P
GFR,Greenfire Resources Ltd.,0001966287,Energy,Oil & Gas E&P
BOOM,DMC Global Inc.,0000034067,Energy,Oil & Gas Equipment & Services
UROY,Uranium Royalty Corp.,0001711570,Energy,Uranium
SOI,"Solaris Oilfield Infrastructure, Inc.",0001697500,Energy,Oil & Gas Equipment & Services
BROG,Brooge Energy Ltd,0001774983,Energy,Oil & Gas Midstream
CCLP,CSI Compressco LP,0001449488,Energy,Oil & Gas Equipment & Services
NC,NACCO INDUSTRIES INC,0000789933,Energy,Thermal Coal
REI,"RING ENERGY, INC.",0001384195,Energy,Oil & Gas E&P
FGPR,FERRELLGAS PARTNERS L P,0000922358,Energy,Oil & Gas Refining & Marketing
HNRG,HALLADOR ENERGY CO,0000788965,Energy,Thermal Coal
RNGR,"Ranger Energy Services, Inc.",0001699039,Energy,Oil & Gas Equipment & Services
AMPY,Amplify Energy Corp.,0001533924,Energy,Oil & Gas E&P
FET,"FORUM ENERGY TECHNOLOGIES, INC.",0001401257,Energy,Oil & Gas Equipment & Services
SJT,SAN JUAN BASIN ROYALTY TRUST,0000319655,Energy,Oil & Gas E&P
GEOS,GEOSPACE TECHNOLOGIES CORP,0001001115,Energy,Oil & Gas Equipment & Services
EPM,EVOLUTION PETROLEUM CORP,0001006655,Energy,Oil & Gas E&P
NGS,NATURAL GAS SERVICES GROUP INC,0001084991,Energy,Oil & Gas Equipment & Services
GTE,GRAN TIERRA ENERGY INC.,0001273441,Energy,Oil & Gas E&P
PNRG,PRIMEENERGY RESOURCES CORP,0000056868,Energy,Oil & Gas E&P
SMLP,"Summit Midstream Partners, LP",0001549922,Energy,Oil & Gas Midstream
KLXE,"KLX Energy Services Holdings, Inc.",0001738827,Energy,Oil & Gas Equipment & Services
AMTX,"AEMETIS, INC",0000738214,Energy,Oil & Gas Refining & Marketing
TRLM,"TRULEUM, INC.",0000855787,Energy,Oil & Gas E&P
EP,EMPIRE PETROLEUM CORP,0000887396,Energy,Oil & Gas E&P
MVO,MV Oil Trust,0001371782,Energy,Oil & Gas E&P
VTNR,Vertex Energy Inc.,0000890447,Energy,Oil & Gas Refining & Marketing
GVXXF,GoviEx Uranium Inc.,0001490596,Energy,Uranium
KGEI,Kolibri Global Energy Inc.,0001477081,Energy,Oil & Gas E&P
PHX,PHX MINERALS INC.,0000315131,Energy,Oil & Gas E&P
VOC,VOC Energy Trust,0001505413,Energy,Oil & Gas E&P
DLNG,Dynagas LNG Partners LP,0001578453,Energy,Oil & Gas Midstream
