Ticker,Company Name,CIK,Sector,Industry
VTRU,Vitru Ltd,0001805012,Consumer Defensive,Education & Training Services
YUMM,YUMMIES INC,0001073748,Consumer Defensive,Education & Training Services
LND,BrasilAgro - Brazilian Agricultural Real Estate Co,0001499849,Consumer Defensive,Farm Products
ISPR,Ispire Technology Inc.,0001948455,Consumer Defensive,Tobacco
CVGW,CALAVO GROWERS INC,0001133470,Consumer Defensive,Food Distribution
DAO,"Youdao, Inc.",0001781753,Consumer Defensive,Education & Training Services
BYND,"BEYOND MEAT, INC.",0001655210,Consumer Defensive,Packaged Foods
TPB,"Turning Point Brands, Inc.",0001290677,Consumer Defensive,Tobacco
VLGEA,VILLAGE SUPER MARKET INC,0000103595,Consumer Defensive,Grocery Stores
SENEA,Seneca Foods Corp,0000088948,Consumer Defensive,Packaged Foods
SNDL,SNDL Inc.,0001766600,Consumer Defensive,Beverages—Wineries & Distilleries
SKIN,Beauty Health Co,0001818093,Consumer Defensive,Household & Personal Products
NATR,NATURES SUNSHINE PRODUCTS INC,0000275053,Consumer Defensive,Packaged Foods
YSG,Yatsen Holding Ltd,0001819580,Consumer Defensive,Household & Personal Products
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",0001547459,Consumer Defensive,Grocery Stores
VSTA,Vasta Platform Ltd,0001792829,Consumer Defensive,Education & Training Services
HNST,"Honest Company, Inc.",0001530979,Consumer Defensive,Household & Personal Products
LMNR,Limoneira CO,0001342423,Consumer Defensive,Farm Products
LINC,LINCOLN EDUCATIONAL SERVICES CORP,0001286613,Consumer Defensive,Education & Training Services
AFRI,Forafric Global PLC,0001903870,Consumer Defensive,Farm Products
DDL,Dingdong (Cayman) Ltd,0001854545,Consumer Defensive,Grocery Stores
SDSYA,SOUTH DAKOTA SOYBEAN PROCESSORS LLC,0001163609,Consumer Defensive,Packaged Foods
HFFG,HF Foods Group Inc.,0001680873,Consumer Defensive,Food Distribution
ALCO,"ALICO, INC.",0000003545,Consumer Defensive,Farm Products
QSG,QuantaSing Group Ltd,0001932770,Consumer Defensive,Education & Training Services
APEI,AMERICAN PUBLIC EDUCATION INC,0001201792,Consumer Defensive,Education & Training Services
SHOT,"Safety Shot, Inc.",0001760903,Consumer Defensive,Beverages—Non-Alcoholic
LWAY,"Lifeway Foods, Inc.",0000814586,Consumer Defensive,Packaged Foods
ACU,ACME UNITED CORP,0000002098,Consumer Defensive,Household & Personal Products
BIG,BIG LOTS INC,0000768835,Consumer Defensive,Discount Stores
MAMA,"Mama's Creations, Inc.",0001520358,Consumer Defensive,Packaged Foods
FREE,"Whole Earth Brands, Inc.",0001753706,Consumer Defensive,Packaged Foods
HCIL,"Hongchang International Co., Ltd",0001086303,Consumer Defensive,Packaged Foods
WILC,G WILLI FOOD INTERNATIONAL LTD,0001030997,Consumer Defensive,Food Distribution
CWGL,"Crimson Wine Group, Ltd",0001562151,Consumer Defensive,Beverages—Wineries & Distilleries
IH,iHuman Inc.,0001814423,Consumer Defensive,Education & Training Services
DIT,AMCON DISTRIBUTING CO,0000928465,Consumer Defensive,Food Distribution
STG,Sunlands Technology Group,0001723935,Consumer Defensive,Education & Training Services
ZVIA,Zevia PBC,0001854139,Consumer Defensive,Beverages—Non-Alcoholic
FTLF,"FITLIFE BRANDS, INC.",0001374328,Consumer Defensive,Packaged Foods
SKIL,Skillsoft Corp.,0001774675,Consumer Defensive,Education & Training Services
HIGR,Hi-Great Group Holding Co,0001807616,Consumer Defensive,Packaged Foods
BRID,BRIDGFORD FOODS CORP,0000014177,Consumer Defensive,Packaged Foods
VFF,"Village Farms International, Inc.",0001584549,Consumer Defensive,Farm Products
GRAM,Gold Flora Corp.,0001876945,Consumer Defensive,Tobacco
LFVN,Lifevantage Corp,0000849146,Consumer Defensive,Packaged Foods
AIU,Meta Data Ltd,0001722380,Consumer Defensive,Education & Training Services
FVTI,"Fortune Valley Treasures, Inc.",0001626745,Consumer Defensive,Beverages—Wineries & Distilleries
GROV,"Grove Collaborative Holdings, Inc.",0001841761,Consumer Defensive,Household & Personal Products
GGROU,Golden Growers Cooperative,0001489874,Consumer Defensive,Farm Products
FARM,FARMER BROTHERS CO,0000034563,Consumer Defensive,Packaged Foods
ZHYBF,Zhong Yuan Bio-Technology Holdings Ltd,0001672886,Consumer Defensive,Packaged Foods
RFLFY,Raffles Education Corp Ltd,0001448815,Consumer Defensive,Education & Training Services
TWOU,"2U, Inc.",0001459417,Consumer Defensive,Education & Training Services
NXMH,"Next Meats Holdings, Inc.",0001811530,Consumer Defensive,Packaged Foods
BFNH,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",0001310488,Consumer Defensive,Packaged Foods
UMEWF,UMeWorld Ltd,0001114936,Consumer Defensive,Packaged Foods
BEDU,Bright Scholar Education Holdings Ltd,0001696355,Consumer Defensive,Education & Training Services
AAGR,African Agriculture Holdings Inc.,0001848898,Consumer Defensive,Farm Products
CFOO,China Foods Holdings Ltd.,0001310630,Consumer Defensive,Packaged Foods
YERBF,YERBAE BRANDS CORP.,0001978133,Consumer Defensive,Beverages—Non-Alcoholic
SOWG,Sow Good Inc.,0001490161,Consumer Defensive,Packaged Foods
GCEH,"Global Clean Energy Holdings, Inc.",0000748790,Consumer Defensive,Farm Products
CHUC,"Charlie's Holdings, Inc.",0001134765,Consumer Defensive,Tobacco
PYYX,"PYXUS INTERNATIONAL, INC.",0000939930,Consumer Defensive,Tobacco
JZ,Jianzhi Education Technology Group Co Ltd,0001852440,Consumer Defensive,Education & Training Services
RGF,"Real Good Food Company, Inc.",0001871149,Consumer Defensive,Packaged Foods
UG,UNITED GUARDIAN INC,0000101295,Consumer Defensive,Household & Personal Products
COE,51Talk Online Education Group,0001659494,Consumer Defensive,Education & Training Services
GNS,Genius Group Ltd,0001847806,Consumer Defensive,Education & Training Services
NAII,NATURAL ALTERNATIVES INTERNATIONAL INC,0000787253,Consumer Defensive,Packaged Foods
MALG,MICROALLIANCE GROUP INC.,0001309251,Consumer Defensive,Packaged Foods
AACG,ATA Creativity Global,0001420529,Consumer Defensive,Education & Training Services
DDC,DDC Enterprise Ltd,0001808110,Consumer Defensive,Packaged Foods
ATPC,Agape ATP Corp,0001713210,Consumer Defensive,Packaged Foods
IVFH,INNOVATIVE FOOD HOLDINGS INC,0000312257,Consumer Defensive,Food Distribution
LXEH,Lixiang Education Holding Co. Ltd.,0001814067,Consumer Defensive,Education & Training Services
PGID,PEREGRINE INDUSTRIES INC,0001061164,Consumer Defensive,Household & Personal Products
VWE,"Vintage Wine Estates, Inc.",0001834045,Consumer Defensive,Beverages—Wineries & Distilleries
RMCF,"Rocky Mountain Chocolate Factory, Inc.",0001616262,Consumer Defensive,Confectioners
WVVI,WILLAMETTE VALLEY VINEYARDS INC,0000838875,Consumer Defensive,Beverages—Wineries & Distilleries
PLAG,Planet Green Holdings Corp.,0001117057,Consumer Defensive,Packaged Foods
NPLS,NP Life Sciences Health Industry Group Inc.,0001781726,Consumer Defensive,Education & Training Services
DTCK,DAVIS COMMODITIES Ltd,0001949478,Consumer Defensive,Farm Products
HCMC,Healthier Choices Management Corp.,0000844856,Consumer Defensive,Grocery Stores
YGF,"YanGuFang International Group Co., Ltd",0001875496,Consumer Defensive,Packaged Foods
SANW,S&W Seed Co,0001477246,Consumer Defensive,Farm Products
PCSV,"PCS Edventures!, Inc.",0001122020,Consumer Defensive,Education & Training Services
NASO,"Naples Soap Company, Inc.",0001398172,Consumer Defensive,Household & Personal Products
YQ,17 Education & Technology Group Inc.,0001821468,Consumer Defensive,Education & Training Services
EEIQ,EpicQuest Education Group International Ltd,0001781397,Consumer Defensive,Education & Training Services
EOSS,EOS INC.,0001651958,Consumer Defensive,Household & Personal Products
GSUN,Golden Sun Health Technology Group Ltd,0001826376,Consumer Defensive,Education & Training Services
BRFH,BARFRESH FOOD GROUP INC.,0001487197,Consumer Defensive,Beverages—Non-Alcoholic
MSS,Maison Solutions Inc.,0001892292,Consumer Defensive,Grocery Stores
LOCL,Local Bounti Corporation/DE,0001840780,Consumer Defensive,Farm Products
STKH,Steakholder Foods Ltd.,0001828098,Consumer Defensive,Packaged Foods
PCST,"PURE CAPITAL SOLUTIONS, INC.",0001406434,Consumer Defensive,Education & Training Services
CTGL,"CITRINE GLOBAL, CORP.",0001498067,Consumer Defensive,Packaged Foods
FEDU,Four Seasons Education (Cayman) Inc.,0001709819,Consumer Defensive,Education & Training Services
PAVS,Paranovus Entertainment Technology Ltd.,0001751876,Consumer Defensive,Packaged Foods
MTEX,MANNATECH INC,0001056358,Consumer Defensive,Food Distribution
EXDW,"Exceed World, Inc.",0001634293,Consumer Defensive,Education & Training Services
SDOT,Sadot Group Inc.,0001701756,Consumer Defensive,Farm Products
JSDA,JONES SODA CO,0001083522,Consumer Defensive,Beverages—Non-Alcoholic
VPRB,"VPR Brands, LP.",0001376231,Consumer Defensive,Tobacco
EDTK,Skillful Craftsman Education Technology Ltd,0001782309,Consumer Defensive,Education & Training Services
SBEV,"SPLASH BEVERAGE GROUP, INC.",0001553788,Consumer Defensive,Beverages—Wineries & Distilleries
NCRA,"NOCERA, INC.",0001756180,Consumer Defensive,Packaged Foods
LQR,LQR House Inc.,0001843165,Consumer Defensive,Beverages—Wineries & Distilleries
PURE,"PURE BIOSCIENCE, INC.",0001006028,Consumer Defensive,Household & Personal Products
AIXN,"AiXin Life International, Inc.",0000835662,Consumer Defensive,Food Distribution
VINE,"Fresh Vine Wine, Inc.",0001880343,Consumer Defensive,Beverages—Wineries & Distilleries
SLGD,Scott's Liquid Gold - Inc.,0000088000,Consumer Defensive,Household & Personal Products
TCTM,"Tarena International, Inc.",0001592560,Consumer Defensive,Education & Training Services
PETZ,"TDH Holdings, Inc.",0001684425,Consumer Defensive,Packaged Foods
BRSH,Bruush Oral Care Inc.,0001913210,Consumer Defensive,Household & Personal Products
DQWS,DSwiss Inc,0001652561,Consumer Defensive,Household & Personal Products
MYND,"Mynd.ai, Inc.",0001708441,Consumer Defensive,Education & Training Services
SHMP,NaturalShrimp Inc,0001465470,Consumer Defensive,Farm Products
AQB,"AquaBounty Technologies, Inc.",0001603978,Consumer Defensive,Farm Products
SISI,"SHINECO, INC.",0001300734,Consumer Defensive,Farm Products
GV,Visionary Holdings Inc.,0001892274,Consumer Defensive,Education & Training Services
HPCO,"Hempacco Co., Inc.",0001892480,Consumer Defensive,Tobacco
MOJO,EQUATOR Beverage Co,0001414953,Consumer Defensive,Beverages—Non-Alcoholic
CLEU,China Liberal Education Holdings Ltd,0001775085,Consumer Defensive,Education & Training Services
WAFU,Wah Fu Education Group Ltd,0001716770,Consumer Defensive,Education & Training Services
MNKA,"Manuka, Inc.",0001062128,Consumer Defensive,Household & Personal Products
REED,"REED'S, INC.",0001140215,Consumer Defensive,Beverages—Non-Alcoholic
LSF,"Laird Superfood, Inc.",0001650696,Consumer Defensive,Packaged Foods
KAVL,"Kaival Brands Innovations Group, Inc.",0001762239,Consumer Defensive,Tobacco
