start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2017-06-30,5372000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2018-06-30,5568000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2019-06-30,6188000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2020-06-30,7671000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2021-06-30,9629000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2022-06-30,11489000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
,2023-06-30,12728000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,789019
