end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK,start
2009-06-30,3324000000.0,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,AccountsPayableCurrent,USD,MSFT,0000789019,
2009-06-30,3324000000.0,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,AccountsPayableCurrent,USD,MSFT,0000789019,
2009-06-30,3324000000.0,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,AccountsPayableCurrent,USD,MSFT,0000789019,
2009-06-30,3324000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,AccountsPayableCurrent,USD,MSFT,0000789019,
2009-09-30,3287000000.0,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2009Q3I,AccountsPayableCurrent,USD,MSFT,0000789019,
2009-12-31,3171000000.0,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2009Q4I,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-03-31,3279000000.0,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2010Q1I,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-06-30,4025000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-06-30,4025000000.0,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-06-30,4025000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-06-30,4025000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-06-30,4025000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-09-30,3654000000.0,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2010Q3I,AccountsPayableCurrent,USD,MSFT,0000789019,
2010-12-31,3863000000.0,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2010Q4I,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-03-31,3829000000.0,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2011Q1I,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-06-30,4197000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-06-30,4197000000.0,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-06-30,4197000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-06-30,4197000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-06-30,4197000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-09-30,3719000000.0,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2011Q3I,AccountsPayableCurrent,USD,MSFT,0000789019,
2011-12-31,3884000000.0,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2011Q4I,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-03-31,3790000000.0,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2012Q1I,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-06-30,4175000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-06-30,4175000000.0,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-06-30,4175000000.0,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-06-30,4175000000.0,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,AccountsPayableCurrent,USD,MSFT,0000789019,
2012-06-30,4175000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,AccountsPayableCurrent,USD,MSFT,0000789019,
