Year,Val
2009,3746000000.0
2010,4939000000.0
2011,11921000000.0
2012,11944000000.0
2013,15600000000.0
2014,20645000000.0
2015,30307000000.0
2016,40783000000.0
2017,82494000000.0
2018,81808000000.0
2019,78366000000.0
2020,70998000000.0
2021,67775000000.0
2022,61270000000.0
2023,59965000000.0
